question,document
Can I see examples of projects from the 2024 and 2025 LLM Zoomcamp cohorts?,930286278d
Where are the submitted repos for old LLM Zoomcamp projects listed?,930286278d
How can I look at earlier capstone project submissions to get an idea of the expected scope?,930286278d
Do I have to announce my capstone project idea before I start working on it?,897a350476
"Is there any need to reserve a project topic for the capstone, or can I just begin?",897a350476
"Can I choose the same kind of project as someone else, or does my idea need to be unique?",897a350476
"If I'm not sure about my capstone idea, where can I ask for feedback?",897a350476
Should I check past capstone projects before picking my own topic?,897a350476
Can I take what we learned in this dlt workshop and apply it to my own capstone project?,d850a0e7ea
"Is it okay to reuse the workshop content in other Zoomcamp projects, like MLOps?",d850a0e7ea
"Since dlt is open source, am I allowed to use the materials in my own work?",d850a0e7ea
Can I share or reuse the workshop examples when I build my project?,d850a0e7ea
"Is this workshop content meant only for class, or can I use it directly in real projects too?",d850a0e7ea
How do I initialize a new dlt project for loading files from cloud storage?,6bceeebf04
What command should I run to start a filesystem-to-duckdb dlt project?,6bceeebf04
I want to set up dlt for cloud file ingestion — what's the initial setup command?,6bceeebf04
How can I create a new dlt pipeline that loads from the filesystem into DuckDB?,6bceeebf04
Is there a quick way to bootstrap a dlt project for filesystem source and DuckDB destination?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name in one place, but the pipeline still says the homework table doesn’t exist — what am I missing?",0407213397
"How can I fix the `db.create_table(..., data)` error for `notion_pages___homework` in the dlt workshop?",0407213397
Is there still some `employee_handbook` setting left somewhere if `notion_pages___homework` isn’t being created?,0407213397
What should I check in my pipeline config if opening `notion_pages___homework` fails right after renaming the dataset?,0407213397
"Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(), and how do I fix it?",e95bfafc0e
"In the dlt workshop, what should I put in line 3 if the table notion_pages___homework isn’t found?",e95bfafc0e
"I keep seeing ""Please first call db.create_table(notion_pages___homework, data)"" — am I opening the wrong table name in main()?",e95bfafc0e
How do I correctly open the Notion homework table so FileNotFoundError doesn’t happen?,e95bfafc0e
What’s the right db.open_table call for the notion_pages___homework table in this assignment?,e95bfafc0e
How can I see all the tables in the database?,e394e6f738
What method do I use to list the tables in my db?,e394e6f738
Is there a way to check which tables are available in the database?,e394e6f738
How do I get the names of every table in the db?,e394e6f738
Which function should I call to print out the table list?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are those missing for now?",cd19f122f3
"Can I use dlt with ClickHouse or StarRocks today, or do I need to build a custom connector?",cd19f122f3
"Are there any official connectors in dlt for ClickHouse and StarRocks, or none at the moment?",cd19f122f3
"If dlt doesn’t have ClickHouse or StarRocks connectors yet, is the project open to community contributions?",cd19f122f3
"Will ClickHouse or StarRocks support be added to dlt in the future, or is it only possible through contributions?",cd19f122f3
Why am I getting a 401 Unauthorized error when my notebook tries to call the Notion API search endpoint?,0dfba07ace
What should I check if my notebook says it has no secret access for api.notion.com/v1/search?,0dfba07ace
"Could this Notion API authorization error be caused by a bad or expired token, and how do I fix it?",0dfba07ace
How do I verify that my Notion API key and permissions are set up correctly for this notebook?,0dfba07ace
"If the notebook keeps failing with a Notion 401 error, what configs or auth steps should I review?",0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb wants 2.32, and how can I force the newer one?",4b30b918bc
What's the exact pip command to install requests from GitHub instead of the older PyPI version?,4b30b918bc
I’m getting a 401 Client Error while setting this up — does that mean my key is wrong or access isn’t enabled?,4b30b918bc
How do I install requests v2.32.3 directly from the source zip for this workshop?,4b30b918bc
Is there a workaround for the requests version issue when using lancedb in this dlt session?,4b30b918bc
